Driver,Stint,Compound,Laps
ALB,1.0,SOFT,15
ALB,2.0,HARD,21
ALB,3.0,HARD,20
ALO,1.0,SOFT,15
ALO,2.0,HARD,26
ALO,3.0,HARD,16
BOT,1.0,SOFT,12
BOT,2.0,HARD,18
BOT,3.0,HARD,26
GAS,1.0,SOFT,12
GAS,2.0,HARD,19
GAS,3.0,HARD,12
GAS,4.0,SOFT,13
HAM,1.0,SOFT,12
HAM,2.0,HARD,21
HAM,3.0,HARD,24
HUL,1.0,SOFT,1
HUL,2.0,HARD,19
HUL,3.0,HARD,21
HUL,4.0,SOFT,15
LEC,1.0,SOFT,11
LEC,2.0,HARD,23
LEC,3.0,HARD,23
MAG,1.0,SOFT,11
MAG,2.0,HARD,21
MAG,3.0,HARD,24
NOR,1.0,SOFT,13
NOR,2.0,HARD,20
NOR,3.0,HARD,24
OCO,1.0,SOFT,10
OCO,2.0,HARD,20
OCO,3.0,HARD,26
PER,1.0,SOFT,12
PER,2.0,HARD,24
PER,3.0,SOFT,21
PIA,1.0,SOFT,12
PIA,2.0,HARD,22
PIA,3.0,HARD,23
RIC,1.0,SOFT,13
RIC,2.0,HARD,22
RIC,3.0,SOFT,21
RUS,1.0,SOFT,11
RUS,2.0,HARD,20
RUS,3.0,HARD,26
SAI,1.0,SOFT,14
SAI,2.0,HARD,21
SAI,3.0,HARD,22
SAR,1.0,SOFT,10
SAR,2.0,HARD,18
SAR,3.0,HARD,12
SAR,4.0,SOFT,15
STR,1.0,SOFT,9
STR,2.0,HARD,18
STR,3.0,HARD,30
TSU,1.0,SOFT,14
TSU,2.0,HARD,20
TSU,3.0,HARD,22
VER,1.0,SOFT,17
VER,2.0,HARD,20
VER,3.0,SOFT,20
ZHO,1.0,SOFT,9
ZHO,2.0,HARD,19
ZHO,3.0,HARD,28
