Driver,Stint,Compound,Laps
ALB,1.0,MEDIUM,12
ALB,2.0,HARD,45
ALO,1.0,MEDIUM,13
ALO,2.0,HARD,24
ALO,3.0,HARD,21
BOT,1.0,MEDIUM,6
BOT,2.0,HARD,24
COL,1.0,MEDIUM,3
COL,2.0,HARD,23
DOO,1.0,MEDIUM,22
DOO,2.0,HARD,35
GAS,1.0,MEDIUM,14
GAS,2.0,HARD,44
HAM,1.0,HARD,34
HAM,2.0,MEDIUM,24
HUL,1.0,MEDIUM,13
HUL,2.0,HARD,45
LAW,1.0,MEDIUM,23
LAW,2.0,HARD,1
LAW,3.0,HARD,5
LAW,4.0,HARD,27
LEC,1.0,MEDIUM,20
LEC,2.0,HARD,38
MAG,1.0,MEDIUM,12
MAG,2.0,HARD,17
MAG,3.0,HARD,1
MAG,4.0,SOFT,25
MAG,5.0,SOFT,2
NOR,1.0,MEDIUM,26
NOR,2.0,HARD,32
PER,1.0,MEDIUM,1
PIA,1.0,MEDIUM,4
PIA,2.0,HARD,28
PIA,3.0,HARD,26
RUS,1.0,MEDIUM,26
RUS,2.0,HARD,32
SAI,1.0,MEDIUM,25
SAI,2.0,HARD,33
STR,1.0,MEDIUM,11
STR,2.0,HARD,21
STR,3.0,HARD,25
TSU,1.0,MEDIUM,22
TSU,2.0,HARD,35
VER,1.0,MEDIUM,29
VER,2.0,HARD,29
ZHO,1.0,MEDIUM,12
ZHO,2.0,HARD,27
ZHO,3.0,HARD,18
