Driver,Stint,Compound,Laps
ALB,1.0,MEDIUM,6
ALB,2.0,HARD,21
ALB,3.0,HARD,30
ALO,1.0,HARD,17
ALO,2.0,MEDIUM,24
ALO,3.0,HARD,17
BOT,1.0,MEDIUM,8
BOT,2.0,HARD,28
BOT,3.0,HARD,21
GAS,1.0,MEDIUM,17
GAS,2.0,HARD,24
GAS,3.0,HARD,16
HAM,1.0,SOFT,7
HAM,2.0,HARD,9
HUL,1.0,HARD,17
HUL,2.0,MEDIUM,18
HUL,3.0,HARD,23
LEC,1.0,MEDIUM,9
LEC,2.0,HARD,25
LEC,3.0,HARD,24
MAG,1.0,MEDIUM,7
MAG,2.0,HARD,26
MAG,3.0,HARD,24
NOR,1.0,MEDIUM,14
NOR,2.0,HARD,26
NOR,3.0,HARD,18
OCO,1.0,MEDIUM,9
OCO,2.0,HARD,7
OCO,3.0,HARD,26
OCO,4.0,HARD,15
PER,1.0,MEDIUM,14
PER,2.0,HARD,21
PER,3.0,HARD,23
PIA,1.0,MEDIUM,9
PIA,2.0,HARD,30
PIA,3.0,HARD,19
RIC,1.0,SOFT,5
RIC,2.0,HARD,24
RIC,3.0,HARD,28
RUS,1.0,MEDIUM,8
RUS,2.0,HARD,37
RUS,3.0,HARD,12
SAI,1.0,MEDIUM,16
SAI,2.0,HARD,25
SAI,3.0,HARD,17
STR,1.0,MEDIUM,8
STR,2.0,HARD,29
STR,3.0,HARD,21
TSU,1.0,MEDIUM,9
TSU,2.0,HARD,27
TSU,3.0,HARD,22
VER,1.0,MEDIUM,4
ZHO,1.0,SOFT,6
ZHO,2.0,HARD,29
ZHO,3.0,HARD,22
