Driver,Stint,Compound,Laps
ALB,1.0,MEDIUM,12
ALB,2.0,HARD,27
ALB,3.0,HARD,31
ALO,1.0,MEDIUM,11
ALO,2.0,MEDIUM,24
ALO,3.0,HARD,33
ALO,4.0,SOFT,2
BOT,1.0,MEDIUM,19
BOT,2.0,HARD,23
BOT,3.0,HARD,28
GAS,1.0,MEDIUM,20
GAS,2.0,HARD,22
GAS,3.0,MEDIUM,29
HAM,1.0,MEDIUM,21
HAM,2.0,HARD,32
HAM,3.0,MEDIUM,18
HUL,1.0,MEDIUM,11
HUL,2.0,HARD,28
HUL,3.0,HARD,32
LEC,1.0,MEDIUM,1
LEC,2.0,HARD,15
LEC,3.0,MEDIUM,17
LEC,4.0,MEDIUM,18
LEC,5.0,MEDIUM,20
MAG,1.0,MEDIUM,10
MAG,2.0,HARD,28
MAG,3.0,HARD,33
NOR,1.0,MEDIUM,23
NOR,2.0,HARD,28
NOR,3.0,MEDIUM,13
OCO,1.0,MEDIUM,19
OCO,2.0,HARD,24
OCO,3.0,MEDIUM,28
PER,1.0,MEDIUM,21
PER,2.0,HARD,30
PER,3.0,MEDIUM,20
PIA,1.0,MEDIUM,25
PIA,2.0,HARD,26
PIA,3.0,MEDIUM,20
RIC,1.0,MEDIUM,10
RIC,2.0,HARD,27
RIC,3.0,HARD,34
RUS,1.0,MEDIUM,22
RUS,2.0,MEDIUM,24
RUS,3.0,HARD,25
SAI,1.0,MEDIUM,22
SAI,2.0,HARD,25
SAI,3.0,MEDIUM,24
SAR,1.0,MEDIUM,1
SAR,2.0,MEDIUM,19
SAR,3.0,HARD,29
SAR,4.0,MEDIUM,20
STR,1.0,MEDIUM,20
STR,2.0,MEDIUM,23
STR,3.0,HARD,27
TSU,1.0,MEDIUM,21
TSU,2.0,HARD,23
TSU,3.0,HARD,26
VER,1.0,MEDIUM,23
VER,2.0,HARD,28
VER,3.0,MEDIUM,13
VER,4.0,SOFT,7
ZHO,1.0,HARD,28
ZHO,2.0,MEDIUM,23
ZHO,3.0,HARD,19
