Driver,Stint,Compound,Laps
ALB,1.0,HARD,31
ALB,2.0,MEDIUM,20
ALO,1.0,MEDIUM,11
ALO,2.0,HARD,40
BEA,1.0,MEDIUM,14
BEA,2.0,HARD,37
BOT,1.0,MEDIUM,11
BOT,2.0,HARD,39
COL,1.0,MEDIUM,10
COL,2.0,HARD,41
GAS,1.0,HARD,50
GAS,2.0,SOFT,1
HAM,1.0,MEDIUM,12
HAM,2.0,HARD,39
HUL,1.0,MEDIUM,15
HUL,2.0,HARD,36
LEC,1.0,MEDIUM,16
LEC,2.0,HARD,35
NOR,1.0,HARD,37
NOR,2.0,MEDIUM,14
OCO,1.0,HARD,49
OCO,2.0,SOFT,1
PER,1.0,MEDIUM,13
PER,2.0,HARD,37
PIA,1.0,MEDIUM,15
PIA,2.0,HARD,36
RIC,1.0,HARD,49
RIC,2.0,SOFT,2
RUS,1.0,MEDIUM,12
RUS,2.0,HARD,39
SAI,1.0,MEDIUM,17
SAI,2.0,HARD,33
STR,1.0,MEDIUM,1
STR,2.0,HARD,21
STR,3.0,HARD,23
TSU,1.0,MEDIUM,12
TSU,2.0,HARD,2
VER,1.0,MEDIUM,12
VER,2.0,HARD,37
VER,3.0,SOFT,2
ZHO,1.0,HARD,34
ZHO,2.0,MEDIUM,17
