Driver,Stint,Compound,Laps
ALB,1.0,MEDIUM,8
ALB,2.0,MEDIUM,15
ALB,3.0,HARD,21
ALO,1.0,MEDIUM,13
ALO,2.0,HARD,31
BOT,1.0,MEDIUM,11
BOT,2.0,HARD,24
BOT,3.0,MEDIUM,9
GAS,1.0,MEDIUM,9
GAS,2.0,HARD,19
GAS,3.0,HARD,16
HAM,1.0,MEDIUM,11
HAM,2.0,HARD,15
HAM,3.0,HARD,18
HUL,1.0,MEDIUM,7
HUL,2.0,HARD,13
HUL,3.0,MEDIUM,24
LEC,1.0,MEDIUM,12
LEC,2.0,HARD,13
LEC,3.0,HARD,19
MAG,1.0,MEDIUM,17
MAG,2.0,HARD,27
NOR,1.0,MEDIUM,15
NOR,2.0,HARD,14
NOR,3.0,HARD,15
OCO,1.0,MEDIUM,12
OCO,2.0,HARD,18
OCO,3.0,HARD,14
PER,1.0,MEDIUM,11
PER,2.0,MEDIUM,10
PER,3.0,HARD,21
PER,4.0,SOFT,2
PIA,1.0,MEDIUM,11
PIA,2.0,HARD,19
PIA,3.0,HARD,14
RIC,1.0,SOFT,8
RIC,2.0,MEDIUM,13
RIC,3.0,HARD,23
RUS,1.0,MEDIUM,10
RUS,2.0,HARD,34
SAI,1.0,HARD,20
SAI,2.0,MEDIUM,8
SAI,3.0,HARD,16
SAR,1.0,MEDIUM,8
SAR,2.0,MEDIUM,16
SAR,3.0,HARD,20
STR,1.0,MEDIUM,12
STR,2.0,HARD,32
TSU,1.0,MEDIUM,15
TSU,2.0,HARD,29
VER,1.0,MEDIUM,10
VER,2.0,HARD,18
VER,3.0,MEDIUM,16
ZHO,1.0,HARD,5
