Driver,Stint,Compound,Laps
ALB,1.0,MEDIUM,27
ALB,2.0,INTERMEDIATE,11
ALB,3.0,MEDIUM,14
ALO,1.0,MEDIUM,27
ALO,2.0,INTERMEDIATE,11
ALO,3.0,MEDIUM,14
BOT,1.0,MEDIUM,26
BOT,2.0,INTERMEDIATE,11
BOT,3.0,SOFT,14
GAS,1.0,MEDIUM,1
HAM,1.0,MEDIUM,27
HAM,2.0,INTERMEDIATE,11
HAM,3.0,SOFT,14
HUL,1.0,MEDIUM,26
HUL,2.0,INTERMEDIATE,13
HUL,3.0,SOFT,13
LEC,1.0,MEDIUM,19
LEC,2.0,INTERMEDIATE,8
LEC,3.0,INTERMEDIATE,10
LEC,4.0,SOFT,14
MAG,1.0,MEDIUM,27
MAG,2.0,INTERMEDIATE,10
MAG,3.0,SOFT,15
NOR,1.0,MEDIUM,27
NOR,2.0,INTERMEDIATE,12
NOR,3.0,SOFT,13
OCO,1.0,SOFT,19
OCO,2.0,INTERMEDIATE,2
OCO,3.0,MEDIUM,5
OCO,4.0,INTERMEDIATE,12
OCO,5.0,MEDIUM,12
PER,1.0,HARD,19
PER,2.0,INTERMEDIATE,9
PER,3.0,INTERMEDIATE,9
PER,4.0,MEDIUM,10
PER,5.0,SOFT,3
PIA,1.0,MEDIUM,28
PIA,2.0,INTERMEDIATE,10
PIA,3.0,MEDIUM,14
RIC,1.0,MEDIUM,26
RIC,2.0,INTERMEDIATE,11
RIC,3.0,SOFT,14
RUS,1.0,MEDIUM,27
RUS,2.0,INTERMEDIATE,6
SAI,1.0,MEDIUM,26
SAI,2.0,INTERMEDIATE,13
SAI,3.0,HARD,11
SAI,4.0,SOFT,2
SAR,1.0,MEDIUM,27
SAR,2.0,INTERMEDIATE,11
SAR,3.0,SOFT,14
STR,1.0,MEDIUM,26
STR,2.0,INTERMEDIATE,13
STR,3.0,MEDIUM,13
TSU,1.0,MEDIUM,27
TSU,2.0,INTERMEDIATE,11
TSU,3.0,SOFT,14
VER,1.0,MEDIUM,26
VER,2.0,INTERMEDIATE,12
VER,3.0,HARD,14
ZHO,1.0,SOFT,12
ZHO,2.0,MEDIUM,7
ZHO,3.0,INTERMEDIATE,7
ZHO,4.0,INTERMEDIATE,11
ZHO,5.0,SOFT,13
