Driver,Stint,Compound,Laps
ALB,1.0,INTERMEDIATE,25
ALB,2.0,INTERMEDIATE,19
ALB,3.0,MEDIUM,9
ALO,1.0,INTERMEDIATE,25
ALO,2.0,INTERMEDIATE,19
ALO,3.0,HARD,26
BOT,1.0,INTERMEDIATE,42
BOT,2.0,MEDIUM,28
GAS,1.0,INTERMEDIATE,25
GAS,2.0,INTERMEDIATE,15
GAS,3.0,HARD,30
HAM,1.0,INTERMEDIATE,25
HAM,2.0,INTERMEDIATE,18
HAM,3.0,MEDIUM,11
HAM,4.0,HARD,16
HUL,1.0,WET,12
HUL,2.0,INTERMEDIATE,13
HUL,3.0,INTERMEDIATE,19
HUL,4.0,MEDIUM,26
LEC,1.0,INTERMEDIATE,25
LEC,2.0,INTERMEDIATE,3
LEC,3.0,HARD,3
LEC,4.0,INTERMEDIATE,10
MAG,1.0,WET,7
MAG,2.0,INTERMEDIATE,18
MAG,3.0,INTERMEDIATE,16
MAG,4.0,MEDIUM,13
MAG,5.0,MEDIUM,16
NOR,1.0,INTERMEDIATE,26
NOR,2.0,INTERMEDIATE,21
NOR,3.0,MEDIUM,23
OCO,1.0,INTERMEDIATE,44
OCO,2.0,MEDIUM,26
PER,1.0,INTERMEDIATE,25
PER,2.0,INTERMEDIATE,18
PER,3.0,MEDIUM,9
PIA,1.0,INTERMEDIATE,25
PIA,2.0,INTERMEDIATE,19
PIA,3.0,MEDIUM,26
RIC,1.0,INTERMEDIATE,26
RIC,2.0,INTERMEDIATE,17
RIC,3.0,MEDIUM,27
RUS,1.0,INTERMEDIATE,25
RUS,2.0,INTERMEDIATE,20
RUS,3.0,HARD,9
RUS,4.0,MEDIUM,16
SAI,1.0,INTERMEDIATE,25
SAI,2.0,INTERMEDIATE,18
SAI,3.0,MEDIUM,10
SAR,1.0,INTERMEDIATE,24
STR,1.0,INTERMEDIATE,25
STR,2.0,INTERMEDIATE,19
STR,3.0,HARD,26
TSU,1.0,INTERMEDIATE,44
TSU,2.0,MEDIUM,26
VER,1.0,INTERMEDIATE,25
VER,2.0,INTERMEDIATE,20
VER,3.0,MEDIUM,25
ZHO,1.0,INTERMEDIATE,24
ZHO,2.0,INTERMEDIATE,20
ZHO,3.0,MEDIUM,8
ZHO,4.0,MEDIUM,17
