Driver,Stint,Compound,Laps
ALB,1.0,MEDIUM,9
ALB,2.0,MEDIUM,14
ALB,3.0,HARD,33
ALO,1.0,MEDIUM,11
ALO,2.0,HARD,12
ALO,3.0,SOFT,20
ALO,4.0,MEDIUM,13
BOT,1.0,MEDIUM,9
BOT,2.0,HARD,11
GAS,1.0,MEDIUM,11
GAS,2.0,HARD,12
GAS,3.0,HARD,15
GAS,4.0,MEDIUM,18
HAM,1.0,SOFT,9
HAM,2.0,MEDIUM,12
HAM,3.0,HARD,35
HUL,1.0,MEDIUM,8
HUL,2.0,HARD,15
HUL,3.0,HARD,33
LEC,1.0,MEDIUM,21
LEC,2.0,HARD,35
MAG,1.0,HARD,17
MAG,2.0,HARD,10
MAG,3.0,MEDIUM,29
NOR,1.0,MEDIUM,22
NOR,2.0,HARD,34
OCO,1.0,MEDIUM,9
OCO,2.0,HARD,14
OCO,3.0,HARD,33
PER,1.0,MEDIUM,13
PER,2.0,HARD,10
PER,3.0,HARD,33
PIA,1.0,MEDIUM,16
PIA,2.0,MEDIUM,8
PIA,3.0,HARD,32
RIC,1.0,MEDIUM,14
RIC,2.0,MEDIUM,19
RUS,1.0,MEDIUM,11
RUS,2.0,MEDIUM,12
RUS,3.0,HARD,33
SAI,1.0,MEDIUM,17
SAI,2.0,HARD,39
SAR,1.0,SOFT,12
SAR,2.0,MEDIUM,12
SAR,3.0,HARD,32
STR,1.0,SOFT,9
STR,2.0,MEDIUM,12
STR,3.0,HARD,5
STR,4.0,MEDIUM,9
STR,5.0,HARD,21
TSU,1.0,SOFT,8
TSU,2.0,MEDIUM,15
TSU,3.0,HARD,4
VER,1.0,MEDIUM,13
VER,2.0,HARD,10
VER,3.0,HARD,33
ZHO,1.0,MEDIUM,8
ZHO,2.0,HARD,15
ZHO,3.0,HARD,17
ZHO,4.0,SOFT,16
