Driver,Stint,Compound,Laps
ALB,1.0,MEDIUM,12
ALB,2.0,HARD,42
ALB,3.0,MEDIUM,17
ALO,1.0,MEDIUM,31
ALO,2.0,HARD,40
BOT,1.0,SOFT,15
BOT,2.0,HARD,28
BOT,3.0,MEDIUM,27
GAS,1.0,MEDIUM,32
GAS,2.0,HARD,39
HAM,1.0,SOFT,23
HAM,2.0,HARD,25
HAM,3.0,SOFT,24
HUL,1.0,MEDIUM,14
HUL,2.0,HARD,57
LEC,1.0,MEDIUM,24
LEC,2.0,HARD,48
MAG,1.0,HARD,40
MAG,2.0,MEDIUM,31
NOR,1.0,MEDIUM,28
NOR,2.0,HARD,44
OCO,1.0,MEDIUM,30
OCO,2.0,HARD,41
PER,1.0,MEDIUM,29
PER,2.0,HARD,43
PIA,1.0,MEDIUM,33
PIA,2.0,HARD,39
RIC,1.0,MEDIUM,29
RIC,2.0,HARD,42
RUS,1.0,MEDIUM,25
RUS,2.0,HARD,29
RUS,3.0,SOFT,18
SAI,1.0,MEDIUM,30
SAI,2.0,HARD,42
SAR,1.0,MEDIUM,22
SAR,2.0,HARD,49
STR,1.0,MEDIUM,30
STR,2.0,HARD,41
TSU,1.0,SOFT,14
TSU,2.0,MEDIUM,18
TSU,3.0,HARD,39
VER,1.0,MEDIUM,27
VER,2.0,HARD,45
ZHO,1.0,MEDIUM,18
ZHO,2.0,HARD,33
ZHO,3.0,SOFT,19
