Driver,Stint,Compound,Laps
ALB,1.0,MEDIUM,8
ALB,2.0,HARD,1
ALB,3.0,MEDIUM,14
ALB,4.0,MEDIUM,5
ALB,5.0,MEDIUM,23
ALO,1.0,SOFT,7
ALO,2.0,HARD,33
ALO,3.0,MEDIUM,19
ALO,4.0,SOFT,3
BOT,1.0,MEDIUM,8
BOT,2.0,HARD,54
GAS,1.0,SOFT,8
GAS,2.0,HARD,22
GAS,3.0,MEDIUM,32
HAM,1.0,MEDIUM,27
HAM,2.0,HARD,36
HUL,1.0,MEDIUM,13
HUL,2.0,HARD,49
LEC,1.0,MEDIUM,25
LEC,2.0,HARD,38
MAG,1.0,MEDIUM,37
MAG,2.0,HARD,25
NOR,1.0,MEDIUM,22
NOR,2.0,HARD,41
OCO,1.0,MEDIUM,25
OCO,2.0,HARD,37
PER,1.0,HARD,37
PER,2.0,MEDIUM,26
PIA,1.0,MEDIUM,23
PIA,2.0,HARD,40
RIC,1.0,MEDIUM,11
RIC,2.0,HARD,51
RUS,1.0,MEDIUM,21
RUS,2.0,HARD,31
RUS,3.0,MEDIUM,11
SAI,1.0,MEDIUM,27
SAI,2.0,HARD,36
SAR,1.0,HARD,31
SAR,2.0,MEDIUM,31
STR,1.0,MEDIUM,37
STR,2.0,HARD,26
TSU,1.0,MEDIUM,12
TSU,2.0,HARD,50
VER,1.0,MEDIUM,24
VER,2.0,HARD,39
ZHO,1.0,HARD,33
ZHO,2.0,MEDIUM,29
