Driver,Stint,Compound,Laps
ALB,1.0,SOFT,6
ALB,2.0,HARD,23
ALB,3.0,HARD,40
ALO,1.0,SOFT,7
ALO,2.0,MEDIUM,30
ALO,3.0,HARD,33
BOT,1.0,MEDIUM,16
BOT,2.0,HARD,29
BOT,3.0,HARD,24
GAS,1.0,HARD,28
GAS,2.0,MEDIUM,5
HAM,1.0,MEDIUM,16
HAM,2.0,HARD,24
HAM,3.0,HARD,30
HUL,1.0,MEDIUM,2
HUL,2.0,HARD,27
HUL,3.0,HARD,40
LEC,1.0,MEDIUM,23
LEC,2.0,HARD,17
LEC,3.0,MEDIUM,30
MAG,1.0,SOFT,6
MAG,2.0,HARD,28
MAG,3.0,HARD,35
NOR,1.0,MEDIUM,17
NOR,2.0,HARD,28
NOR,3.0,MEDIUM,25
OCO,1.0,MEDIUM,6
OCO,2.0,HARD,24
OCO,3.0,HARD,34
OCO,4.0,SOFT,5
PER,1.0,HARD,28
PER,2.0,MEDIUM,19
PER,3.0,MEDIUM,23
PIA,1.0,MEDIUM,18
PIA,2.0,HARD,29
PIA,3.0,MEDIUM,23
RIC,1.0,MEDIUM,7
RIC,2.0,HARD,21
RIC,3.0,HARD,41
RUS,1.0,HARD,33
RUS,2.0,MEDIUM,20
RUS,3.0,HARD,17
SAI,1.0,MEDIUM,21
SAI,2.0,HARD,26
SAI,3.0,MEDIUM,23
SAR,1.0,MEDIUM,8
SAR,2.0,HARD,25
SAR,3.0,HARD,30
SAR,4.0,SOFT,6
STR,1.0,SOFT,14
STR,2.0,MEDIUM,31
STR,3.0,HARD,25
TSU,1.0,MEDIUM,29
TSU,2.0,HARD,41
VER,1.0,MEDIUM,21
VER,2.0,HARD,28
VER,3.0,MEDIUM,21
ZHO,1.0,MEDIUM,7
ZHO,2.0,HARD,29
ZHO,3.0,HARD,33
