Driver,Stint,Compound,Laps
ALB,1.0,MEDIUM,17
ALB,2.0,HARD,36
ALO,1.0,MEDIUM,12
ALO,2.0,HARD,23
ALO,3.0,HARD,18
BOT,1.0,HARD,33
BOT,2.0,MEDIUM,19
COL,1.0,MEDIUM,16
COL,2.0,HARD,37
GAS,1.0,MEDIUM,10
GAS,2.0,HARD,20
GAS,3.0,HARD,22
HAM,1.0,MEDIUM,15
HAM,2.0,HARD,22
HAM,3.0,HARD,16
HUL,1.0,MEDIUM,5
HUL,2.0,HARD,27
HUL,3.0,HARD,20
LEC,1.0,MEDIUM,15
LEC,2.0,HARD,38
MAG,1.0,MEDIUM,14
MAG,2.0,HARD,39
NOR,1.0,MEDIUM,14
NOR,2.0,HARD,18
NOR,3.0,HARD,21
OCO,1.0,HARD,31
OCO,2.0,MEDIUM,21
PER,1.0,HARD,23
PER,2.0,HARD,12
PER,3.0,MEDIUM,18
PIA,1.0,MEDIUM,16
PIA,2.0,HARD,22
PIA,3.0,HARD,15
RIC,1.0,MEDIUM,11
RIC,2.0,HARD,42
RUS,1.0,MEDIUM,11
RUS,2.0,HARD,22
RUS,3.0,HARD,20
SAI,1.0,MEDIUM,19
SAI,2.0,HARD,34
STR,1.0,HARD,19
STR,2.0,HARD,17
STR,3.0,MEDIUM,14
STR,4.0,SOFT,2
TSU,1.0,HARD,7
VER,1.0,HARD,22
VER,2.0,HARD,19
VER,3.0,MEDIUM,12
ZHO,1.0,MEDIUM,15
ZHO,2.0,HARD,37
