Driver,Stint,Compound,Laps
ALB,1.0,SOFT,1
ALO,1.0,SOFT,1
ALO,2.0,SOFT,12
ALO,3.0,MEDIUM,20
ALO,4.0,HARD,20
BOT,1.0,SOFT,1
BOT,2.0,SOFT,5
BOT,3.0,HARD,16
BOT,4.0,HARD,30
GAS,1.0,SOFT,1
GAS,2.0,HARD,15
GAS,3.0,MEDIUM,16
GAS,4.0,HARD,20
HAM,1.0,MEDIUM,1
HAM,2.0,HARD,22
HAM,3.0,HARD,16
HAM,4.0,MEDIUM,14
HUL,1.0,SOFT,1
HUL,2.0,SOFT,4
HUL,3.0,HARD,28
HUL,4.0,HARD,19
LEC,1.0,MEDIUM,1
LEC,2.0,MEDIUM,25
LEC,3.0,HARD,27
MAG,1.0,MEDIUM,1
MAG,2.0,MEDIUM,21
MAG,3.0,HARD,30
NOR,1.0,MEDIUM,1
NOR,2.0,MEDIUM,10
NOR,3.0,HARD,15
NOR,4.0,HARD,27
OCO,1.0,SOFT,1
OCO,2.0,HARD,18
OCO,3.0,HARD,14
OCO,4.0,MEDIUM,19
PER,1.0,MEDIUM,1
PER,2.0,MEDIUM,14
PER,3.0,MEDIUM,18
PER,4.0,HARD,20
PIA,1.0,MEDIUM,1
PIA,2.0,MEDIUM,11
PIA,3.0,HARD,20
PIA,4.0,HARD,21
RIC,1.0,MEDIUM,1
RUS,1.0,MEDIUM,1
RUS,2.0,HARD,21
RUS,3.0,HARD,15
RUS,4.0,MEDIUM,16
SAI,1.0,MEDIUM,1
SAI,2.0,MEDIUM,14
SAI,3.0,MEDIUM,21
SAI,4.0,HARD,17
SAR,1.0,SOFT,1
SAR,2.0,HARD,21
SAR,3.0,HARD,12
SAR,4.0,MEDIUM,7
SAR,5.0,SOFT,11
STR,1.0,SOFT,1
STR,2.0,SOFT,11
STR,3.0,MEDIUM,10
STR,4.0,HARD,12
STR,5.0,SOFT,18
TSU,1.0,MEDIUM,1
TSU,2.0,SOFT,6
TSU,3.0,HARD,15
TSU,4.0,HARD,30
VER,1.0,MEDIUM,1
VER,2.0,MEDIUM,15
VER,3.0,MEDIUM,18
VER,4.0,HARD,19
ZHO,1.0,MEDIUM,1
ZHO,2.0,SOFT,6
ZHO,3.0,HARD,4
ZHO,4.0,HARD,1
