Driver,Stint,Compound,Laps
ALB,1.0,MEDIUM,9
ALB,2.0,HARD,16
ALO,1.0,SOFT,4
ALO,2.0,HARD,20
ALO,3.0,HARD,26
BOT,1.0,HARD,17
BOT,2.0,MEDIUM,18
BOT,3.0,HARD,14
COL,1.0,HARD,16
COL,2.0,MEDIUM,10
COL,3.0,HARD,24
GAS,1.0,MEDIUM,10
GAS,2.0,HARD,5
HAM,1.0,MEDIUM,13
HAM,2.0,HARD,14
HAM,3.0,HARD,23
HUL,1.0,MEDIUM,14
HUL,2.0,HARD,19
HUL,3.0,HARD,17
LAW,1.0,MEDIUM,11
LAW,2.0,HARD,27
LAW,3.0,HARD,12
LEC,1.0,MEDIUM,9
LEC,2.0,HARD,22
LEC,3.0,HARD,19
MAG,1.0,MEDIUM,17
MAG,2.0,HARD,33
NOR,1.0,MEDIUM,9
NOR,2.0,HARD,21
NOR,3.0,HARD,18
NOR,4.0,SOFT,2
OCO,1.0,MEDIUM,11
OCO,2.0,MEDIUM,1
OCO,3.0,HARD,33
OCO,4.0,SOFT,4
PER,1.0,HARD,17
PER,2.0,MEDIUM,15
PER,3.0,HARD,18
PIA,1.0,MEDIUM,10
PIA,2.0,HARD,15
PIA,3.0,HARD,25
RUS,1.0,MEDIUM,12
RUS,2.0,HARD,20
RUS,3.0,HARD,18
SAI,1.0,MEDIUM,10
SAI,2.0,HARD,18
SAI,3.0,HARD,22
STR,1.0,MEDIUM,9
STR,2.0,HARD,19
STR,3.0,HARD,22
TSU,1.0,MEDIUM,10
TSU,2.0,HARD,19
TSU,3.0,HARD,21
VER,1.0,MEDIUM,11
VER,2.0,HARD,16
VER,3.0,HARD,23
ZHO,1.0,MEDIUM,11
ZHO,2.0,HARD,23
ZHO,3.0,HARD,16
