Driver,Stint,Compound,Laps
ALB,1.0,MEDIUM,1
ALO,1.0,MEDIUM,15
BOT,1.0,HARD,49
BOT,2.0,MEDIUM,21
COL,1.0,HARD,47
COL,2.0,MEDIUM,23
GAS,1.0,MEDIUM,28
GAS,2.0,HARD,42
HAM,1.0,MEDIUM,28
HAM,2.0,HARD,43
HUL,1.0,MEDIUM,29
HUL,2.0,HARD,41
LAW,1.0,HARD,39
LAW,2.0,MEDIUM,26
LAW,3.0,SOFT,5
LEC,1.0,MEDIUM,31
LEC,2.0,HARD,38
LEC,3.0,SOFT,2
MAG,1.0,MEDIUM,30
MAG,2.0,HARD,41
NOR,1.0,MEDIUM,30
NOR,2.0,HARD,41
OCO,1.0,HARD,48
OCO,2.0,MEDIUM,22
PER,1.0,HARD,20
PER,2.0,MEDIUM,23
PER,3.0,MEDIUM,25
PER,4.0,SOFT,2
PIA,1.0,MEDIUM,39
PIA,2.0,HARD,32
RUS,1.0,MEDIUM,31
RUS,2.0,HARD,40
SAI,1.0,MEDIUM,32
SAI,2.0,HARD,39
STR,1.0,MEDIUM,26
STR,2.0,HARD,44
TSU,1.0,MEDIUM,1
VER,1.0,MEDIUM,26
VER,2.0,HARD,45
ZHO,1.0,HARD,43
ZHO,2.0,MEDIUM,27
