Driver,Stint,Compound,Laps
ALB,1.0,MEDIUM,10
ALB,2.0,HARD,43
ALB,3.0,SOFT,4
ALO,1.0,HARD,22
ALO,2.0,MEDIUM,35
BOT,1.0,SOFT,11
BOT,2.0,HARD,18
BOT,3.0,MEDIUM,28
GAS,1.0,MEDIUM,12
GAS,2.0,HARD,45
HAM,1.0,HARD,26
HAM,2.0,MEDIUM,31
HUL,1.0,MEDIUM,12
HUL,2.0,HARD,16
HUL,3.0,MEDIUM,29
LEC,1.0,MEDIUM,19
LEC,2.0,HARD,38
MAG,1.0,HARD,22
MAG,2.0,MEDIUM,6
MAG,3.0,MEDIUM,3
MAG,4.0,MEDIUM,26
NOR,1.0,MEDIUM,29
NOR,2.0,HARD,28
OCO,1.0,MEDIUM,22
OCO,2.0,HARD,35
PER,1.0,MEDIUM,17
PER,2.0,HARD,11
PER,3.0,MEDIUM,29
PIA,1.0,MEDIUM,27
PIA,2.0,HARD,13
PIA,3.0,MEDIUM,17
RIC,1.0,HARD,28
RIC,2.0,MEDIUM,29
RUS,1.0,MEDIUM,24
RUS,2.0,HARD,33
SAI,1.0,MEDIUM,27
SAI,2.0,HARD,30
SAR,1.0,MEDIUM,11
SAR,2.0,HARD,17
STR,1.0,MEDIUM,11
STR,2.0,HARD,17
STR,3.0,MEDIUM,29
TSU,1.0,MEDIUM,28
TSU,2.0,HARD,29
VER,1.0,MEDIUM,23
VER,2.0,HARD,34
ZHO,1.0,MEDIUM,28
ZHO,2.0,SOFT,29
