Driver,Stint,Compound,Laps
ALB,1.0,MEDIUM,1
ALB,2.0,HARD,76
ALO,1.0,HARD,1
ALO,2.0,MEDIUM,75
BOT,1.0,HARD,1
BOT,2.0,MEDIUM,14
BOT,3.0,HARD,61
GAS,1.0,HARD,1
GAS,2.0,MEDIUM,76
HAM,1.0,HARD,1
HAM,2.0,MEDIUM,50
HAM,3.0,HARD,27
HUL,1.0,MEDIUM,1
LEC,1.0,MEDIUM,1
LEC,2.0,HARD,77
MAG,1.0,HARD,1
NOR,1.0,MEDIUM,1
NOR,2.0,HARD,77
OCO,1.0,HARD,1
PER,1.0,HARD,1
PIA,1.0,MEDIUM,1
PIA,2.0,HARD,77
RIC,1.0,MEDIUM,1
RIC,2.0,HARD,75
RUS,1.0,HARD,1
RUS,2.0,MEDIUM,77
SAI,1.0,MEDIUM,1
SAI,2.0,HARD,77
SAR,1.0,HARD,1
SAR,2.0,HARD,56
SAR,3.0,MEDIUM,19
STR,1.0,HARD,1
STR,2.0,MEDIUM,41
STR,3.0,HARD,6
STR,4.0,SOFT,28
TSU,1.0,MEDIUM,1
TSU,2.0,HARD,76
VER,1.0,HARD,1
VER,2.0,MEDIUM,51
VER,3.0,HARD,26
ZHO,1.0,MEDIUM,1
ZHO,2.0,HARD,69
ZHO,3.0,SOFT,6
