Driver,Stint,Compound,Laps
ALB,1.0,MEDIUM,35
ALB,2.0,SOFT,1
ALB,3.0,SOFT,1
ALB,4.0,SOFT,18
ALB,5.0,SOFT,1
ALO,1.0,MEDIUM,35
ALO,2.0,HARD,1
ALO,3.0,MEDIUM,1
ALO,4.0,MEDIUM,20
BOT,1.0,MEDIUM,24
BOT,2.0,HARD,11
BOT,3.0,MEDIUM,1
BOT,4.0,MEDIUM,21
COL,1.0,UNKNOWN,1
GAS,1.0,MEDIUM,35
GAS,2.0,HARD,1
GAS,3.0,HARD,1
GAS,4.0,HARD,20
HAM,1.0,MEDIUM,34
HAM,2.0,HARD,1
HAM,3.0,HARD,1
HAM,4.0,HARD,11
HAM,5.0,HARD,10
HUL,1.0,HARD,1
HUL,2.0,HARD,30
HUL,3.0,MEDIUM,5
HUL,4.0,MEDIUM,1
HUL,5.0,MEDIUM,3
LAW,1.0,MEDIUM,35
LAW,2.0,HARD,1
LAW,3.0,HARD,1
LAW,4.0,HARD,3
LAW,5.0,SOFT,17
LEC,1.0,MEDIUM,35
LEC,2.0,HARD,1
LEC,3.0,HARD,1
LEC,4.0,HARD,20
MAG,1.0,MEDIUM,27
MAG,2.0,HARD,9
MAG,3.0,HARD,1
MAG,4.0,HARD,20
NOR,1.0,MEDIUM,35
NOR,2.0,HARD,1
NOR,3.0,HARD,1
NOR,4.0,HARD,8
NOR,5.0,HARD,12
OCO,1.0,UNKNOWN,1
PER,1.0,MEDIUM,35
PER,2.0,HARD,1
PER,3.0,HARD,1
PER,4.0,HARD,2
PIA,1.0,MEDIUM,34
PIA,2.0,HARD,2
PIA,3.0,HARD,1
PIA,4.0,HARD,20
RUS,1.0,MEDIUM,23
RUS,2.0,HARD,12
RUS,3.0,HARD,1
RUS,4.0,HARD,1
RUS,5.0,HARD,20
SAI,1.0,MEDIUM,34
SAI,2.0,HARD,2
SAI,3.0,HARD,1
SAI,4.0,HARD,20
STR,1.0,MEDIUM,1
STR,2.0,HARD,6
STR,3.0,HARD,1
TSU,1.0,MEDIUM,35
TSU,2.0,HARD,1
TSU,3.0,HARD,1
TSU,4.0,HARD,3
TSU,5.0,SOFT,17
VER,1.0,MEDIUM,35
VER,2.0,HARD,1
VER,3.0,HARD,1
VER,4.0,HARD,20
ZHO,1.0,MEDIUM,35
ZHO,2.0,HARD,1
ZHO,3.0,HARD,1
ZHO,4.0,HARD,20
