Driver,Stint,Compound,Laps
ALB,1.0,MEDIUM,7
ALB,2.0,HARD,43
ALO,1.0,MEDIUM,7
ALO,2.0,HARD,43
BEA,1.0,SOFT,7
BEA,2.0,HARD,43
BOT,1.0,SOFT,7
BOT,2.0,HARD,28
BOT,3.0,SOFT,14
GAS,1.0,MEDIUM,1
HAM,1.0,MEDIUM,36
HAM,2.0,SOFT,14
HUL,1.0,MEDIUM,33
HUL,2.0,HARD,17
LEC,1.0,MEDIUM,7
LEC,2.0,HARD,43
MAG,1.0,MEDIUM,7
MAG,2.0,HARD,43
NOR,1.0,MEDIUM,37
NOR,2.0,SOFT,13
OCO,1.0,MEDIUM,7
OCO,2.0,HARD,42
PER,1.0,MEDIUM,7
PER,2.0,HARD,43
PIA,1.0,MEDIUM,7
PIA,2.0,HARD,43
RIC,1.0,MEDIUM,7
RIC,2.0,HARD,42
RUS,1.0,MEDIUM,7
RUS,2.0,HARD,43
SAR,1.0,MEDIUM,7
SAR,2.0,HARD,42
STR,1.0,MEDIUM,6
TSU,1.0,MEDIUM,7
TSU,2.0,HARD,42
VER,1.0,MEDIUM,7
VER,2.0,HARD,43
ZHO,1.0,MEDIUM,41
ZHO,2.0,SOFT,8
