Driver,Stint,Compound,Laps
ALB,1.0,MEDIUM,11
ALB,2.0,HARD,4
ALO,1.0,MEDIUM,25
ALO,2.0,HARD,36
BOT,1.0,HARD,33
BOT,2.0,MEDIUM,28
COL,1.0,MEDIUM,29
COL,2.0,HARD,32
GAS,1.0,MEDIUM,37
GAS,2.0,SOFT,24
HAM,1.0,SOFT,17
HAM,2.0,HARD,45
HUL,1.0,MEDIUM,29
HUL,2.0,HARD,32
LEC,1.0,MEDIUM,36
LEC,2.0,HARD,26
MAG,1.0,HARD,28
MAG,2.0,MEDIUM,21
MAG,3.0,SOFT,8
NOR,1.0,MEDIUM,30
NOR,2.0,HARD,32
OCO,1.0,MEDIUM,29
OCO,2.0,HARD,32
PER,1.0,MEDIUM,28
PER,2.0,HARD,33
PIA,1.0,MEDIUM,38
PIA,2.0,HARD,24
RIC,1.0,SOFT,10
RIC,2.0,MEDIUM,36
RIC,3.0,SOFT,12
RIC,4.0,SOFT,3
RUS,1.0,MEDIUM,27
RUS,2.0,HARD,35
SAI,1.0,MEDIUM,13
SAI,2.0,HARD,49
STR,1.0,HARD,26
STR,2.0,MEDIUM,35
TSU,1.0,MEDIUM,33
TSU,2.0,SOFT,28
VER,1.0,MEDIUM,29
VER,2.0,HARD,33
ZHO,1.0,HARD,34
ZHO,2.0,MEDIUM,27
