Driver,Stint,Compound,Laps
ALB,1.0,MEDIUM,18
ALB,2.0,SOFT,25
ALB,3.0,SOFT,22
ALO,1.0,SOFT,19
ALO,2.0,MEDIUM,26
ALO,3.0,HARD,20
BOT,1.0,SOFT,11
BOT,2.0,SOFT,17
BOT,3.0,HARD,37
GAS,1.0,SOFT,14
GAS,2.0,MEDIUM,24
GAS,3.0,HARD,28
HAM,1.0,SOFT,16
HAM,2.0,MEDIUM,27
HAM,3.0,SOFT,23
HUL,1.0,SOFT,12
HUL,2.0,MEDIUM,26
HUL,3.0,HARD,28
LEC,1.0,SOFT,24
LEC,2.0,MEDIUM,23
LEC,3.0,SOFT,19
MAG,1.0,SOFT,10
MAG,2.0,MEDIUM,19
MAG,3.0,HARD,36
NOR,1.0,SOFT,23
NOR,2.0,MEDIUM,24
NOR,3.0,SOFT,19
OCO,1.0,SOFT,13
OCO,2.0,MEDIUM,24
OCO,3.0,HARD,29
PER,1.0,SOFT,13
PER,2.0,SOFT,18
PER,3.0,MEDIUM,18
PER,4.0,SOFT,17
PIA,1.0,SOFT,21
PIA,2.0,MEDIUM,25
PIA,3.0,SOFT,20
RIC,1.0,SOFT,16
RIC,2.0,MEDIUM,26
RIC,3.0,HARD,23
RUS,1.0,SOFT,15
RUS,2.0,MEDIUM,21
RUS,3.0,HARD,30
SAI,1.0,SOFT,15
SAI,2.0,MEDIUM,21
SAI,3.0,HARD,30
SAR,1.0,SOFT,14
SAR,2.0,MEDIUM,20
SAR,3.0,HARD,30
STR,1.0,SOFT,17
STR,2.0,MEDIUM,20
STR,3.0,HARD,28
TSU,1.0,SOFT,9
TSU,2.0,MEDIUM,18
TSU,3.0,HARD,17
TSU,4.0,SOFT,21
VER,1.0,SOFT,17
VER,2.0,MEDIUM,27
VER,3.0,SOFT,22
ZHO,1.0,SOFT,9
ZHO,2.0,MEDIUM,32
ZHO,3.0,HARD,24
