Driver,Stint,Compound,Laps
ALO,1.0,INTERMEDIATE,27
ALO,2.0,INTERMEDIATE,5
ALO,3.0,INTERMEDIATE,37
BEA,1.0,INTERMEDIATE,27
BEA,2.0,INTERMEDIATE,5
BEA,3.0,INTERMEDIATE,37
BOT,1.0,INTERMEDIATE,32
BOT,2.0,INTERMEDIATE,37
COL,1.0,INTERMEDIATE,26
COL,2.0,INTERMEDIATE,4
GAS,1.0,INTERMEDIATE,32
GAS,2.0,INTERMEDIATE,37
HAM,1.0,INTERMEDIATE,27
HAM,2.0,INTERMEDIATE,5
HAM,3.0,INTERMEDIATE,37
HUL,1.0,INTERMEDIATE,25
HUL,2.0,INTERMEDIATE,2
HUL,3.0,WET,2
HUL,4.0,INTERMEDIATE,1
LAW,1.0,INTERMEDIATE,28
LAW,2.0,WET,4
LAW,3.0,INTERMEDIATE,37
LEC,1.0,INTERMEDIATE,24
LEC,2.0,INTERMEDIATE,8
LEC,3.0,INTERMEDIATE,37
NOR,1.0,INTERMEDIATE,28
NOR,2.0,INTERMEDIATE,4
NOR,3.0,INTERMEDIATE,37
OCO,1.0,INTERMEDIATE,32
OCO,2.0,INTERMEDIATE,37
PER,1.0,INTERMEDIATE,27
PER,2.0,WET,5
PER,3.0,INTERMEDIATE,37
PIA,1.0,INTERMEDIATE,27
PIA,2.0,INTERMEDIATE,5
PIA,3.0,INTERMEDIATE,37
RUS,1.0,INTERMEDIATE,28
RUS,2.0,INTERMEDIATE,4
RUS,3.0,INTERMEDIATE,37
SAI,1.0,INTERMEDIATE,27
SAI,2.0,INTERMEDIATE,5
SAI,3.0,INTERMEDIATE,7
STR,1.0,INTERMEDIATE,1
TSU,1.0,INTERMEDIATE,28
TSU,2.0,WET,4
TSU,3.0,INTERMEDIATE,37
VER,1.0,INTERMEDIATE,32
VER,2.0,INTERMEDIATE,37
ZHO,1.0,INTERMEDIATE,27
ZHO,2.0,INTERMEDIATE,1
ZHO,3.0,WET,3
ZHO,4.0,INTERMEDIATE,1
ZHO,5.0,INTERMEDIATE,37
