Driver,Stint,Compound,Laps
ALB,1.0,MEDIUM,3
ALB,2.0,MEDIUM,30
ALB,3.0,HARD,22
ALO,1.0,MEDIUM,26
ALO,2.0,HARD,29
BOT,1.0,MEDIUM,15
BOT,2.0,HARD,40
COL,1.0,HARD,39
COL,2.0,MEDIUM,17
GAS,1.0,MEDIUM,18
GAS,2.0,HARD,38
HAM,1.0,HARD,2
HUL,1.0,MEDIUM,27
HUL,2.0,HARD,29
LAW,1.0,HARD,36
LAW,2.0,MEDIUM,20
LEC,1.0,MEDIUM,26
LEC,2.0,HARD,30
MAG,1.0,MEDIUM,17
MAG,2.0,HARD,21
MAG,3.0,MEDIUM,18
NOR,1.0,MEDIUM,31
NOR,2.0,HARD,25
OCO,1.0,MEDIUM,31
OCO,2.0,HARD,20
OCO,3.0,SOFT,4
PER,1.0,MEDIUM,26
PER,2.0,HARD,30
PIA,1.0,MEDIUM,32
PIA,2.0,HARD,24
RUS,1.0,HARD,40
RUS,2.0,MEDIUM,16
SAI,1.0,MEDIUM,21
SAI,2.0,HARD,35
STR,1.0,HARD,27
STR,2.0,MEDIUM,28
TSU,1.0,MEDIUM,18
TSU,2.0,HARD,37
VER,1.0,MEDIUM,25
VER,2.0,HARD,31
ZHO,1.0,MEDIUM,13
ZHO,2.0,MEDIUM,22
ZHO,3.0,HARD,20
